technology,group,parameters,technology-entry,description
UE_res_comm_sp_fc,share-constraint formulation,"activity, upper",1,Residential&Commercial Specific share constraint - restrict contribution of fuel cell technologies to x % of residential specific energy demand.
UE_res_comm_sp_solar,share-constraint formulation,"activity, upper",1,Residential&Commercial Specific share constraint - restrict contribution of solar technologies to x % of residential specific energy demand.
UE_res_comm_th,share-constraint formulation,"activity, lower, upper",1,Residential&Commercial Thermal share constraint  - connects all relevant technologies.
UE_res_comm_th_biomass,share-constraint formulation,"activity, lower",1,Residential&Commercial Thermal share constraint  - restrict contribution of biomass technologies to x % of residential/commercial thermal energy demand.
UE_res_comm_th_electric,share-constraint formulation,"activity, upper",1,Residential&Commercial Thermal share constraint  - restrict contribution of electricity to x % of residential/commercial thermal energy demand.
UE_res_comm_th_foil,share-constraint formulation,"activity, upper",1,Residential&Commercial Thermal share constraint  - restrict contribution of heavy fuel oil to x % of residential/commercial thermal energy demand.
UE_res_comm_th_gas,share-constraint formulation,"activity, upper",1,Residential&Commercial Thermal share constraint  - restrict contribution of gaseous fuels to x % of residential/commercial thermal energy demand.
UE_res_comm_th_heat,share-constraint formulation,"activity, upper",1,Residential&Commercial Thermal share constraint  - restrict contribution of district heat to x % of residential/commercial thermal energy demand.
UE_res_comm_th_hp,share-constraint formulation,"activity, upper",1,Residential&Commercial Thermal share constraint  - restrict contribution of heat pumps to x % of residential/commercial thermal energy demand.
UE_res_comm_th_hydrogen,share-constraint formulation,"activity, upper",1,Residential&Commercial Thermal share constraint  - restrict contribution of hydrogen to x % of residential/commercial thermal energy demand.
UE_res_comm_th_liquid,share-constraint formulation,"activity, upper",1,Residential&Commercial Thermal share constraint  - restrict contribution of liquid fuels to x % of residential/commercial thermal energy demand.
UE_res_comm_th_solar,share-constraint formulation,"activity, upper",1,Residential&Commercial Thermal share constraint  - restrict contribution of solar technologies to x % of residential/commercial thermal energy demand.
UE_res_comm_th_solids,share-constraint formulation,"activity, upper",1,Residential&Commercial Thermal share constraint  - restrict contribution of solid fuels to x % of residential/commercial thermal energy demand.
UE_transport,share-constraint formulation,"activity, lower, upper",1,Transport share constraint  - connects all relevant technologies
UE_transport_electric,share-constraint formulation,"activity, upper",1,Transport share constraint  - restrict contribution of electric technologies to x % of transport energy demand.
UE_transport_electric_Minimum,share-constraint formulation,"activity, lower",1,Transport share constraint  - restrict LOWER contribution of electric technologies to x % of transport energy demand.
UE_transport_fc,share-constraint formulation,"activity, upper",1,Transport share constraint  - restrict contribution of fuel cell technologies to x % of transport energy demand.
UE_transport_foil,share-constraint formulation,"activity, upper",1,Transport share constraint  - restrict contribution of heavy fuel oil to x % of transport energy demand.
UE_transport_gas,share-constraint formulation,"activity, upper",1,Transport share constraint  - restrict contribution of gaseous fuels to x % of transport energy demand.
UE_transport_liquid,share-constraint formulation,"activity, upper",1,Transport share constraint  - restrict contribution of liquid fuels to x % of transport energy demand.
VOC_Emission_bunkers,removed,activity,1,VOC emission from international shipping (bunker fuel)
VOC_IndThermLink,removed,activity,1,Constraint links VOC solvent emissions to its driver: the industrial themal demand.
VOC_nonenergy,emission_factor,"activity, lower",1,VOC emission from non-energy sectors
WasteGenToBCALink,emission_factor,"activity, lower, upper",1,link from waste generation to BC
WasteGenToCH4Link,emission_factor,"activity, lower, upper",1,link from waste generation to CH4
WasteGenToCOLink,emission_factor,"activity, lower, upper",1,link from waste generation to CO
WasteGenToNOxLink,emission_factor,"activity, lower, upper",1,link from waste generation to Nox
WasteGenToOCALink,emission_factor,"activity, lower, upper",1,link from waste generation to OC
WasteGenToPM2Link,emission_factor,"activity, lower, upper",1,link from waste generation to PM2.5
WasteGenToSO2Link,emission_factor,"activity, lower, upper",1,link from waste generation to SO2
WasteGenToVOCLink,emission_factor,"activity, lower, upper",1,link from waste generation to VOC
bco2_trans_disp,,"activity, lower, upper",1,CO2 transport and injection from BECCS
bio_extr_mpen_c,,"activity, lower, upper",1,link equation for joint diffusion constraint of biomass extraction technologies (deprecated?)
bio_scrub_lim,,"activity, upper",1,limit on CO2 scrubber application (CCS add-on) for biomass power plants
co2_trans_disp,add-on,"activity, lower, upper",1,Constraint to connect captured carbon to transportation and disposal
co_gen_limit,share-constraint formulation,"activity, lower",1,Limits cogeneration as share of total central heat production
coal-exp,share-constraint formulation,"activity, upper",1,Restricts coal exports to hard coal only  by limiting lignite to power plants and other central conversion.
coal_extr,removed,activity,1,In R11 GLB only - used for accounting or limiting global coal extraction (currently inactive as only positive entries)
coal_extr_mpen_c,fossil resources,"activity, lower, upper",1,link equation for joint diffusion constraint of coal extraction technologies
coal_scrub_lim,add-on,"activity, upper",1,limit on CO2 scrubber application (CCS add-on) for coal power plants
csp_japan_limit,renewable formulation,"activity, upper",1,limit on renewable resource use of Japan in PAO region
demF_limit,share-constraint formulation,"activity, lower, upper",1,Constraint linking mpa for additional VOM costs for breaching share constraints related to Feedstock sector to growth rate
demI_limit,share-constraint formulation,"activity, lower, upper",1,Constraint linking mpa for additional VOM costs for breaching share constraints related to Industrial Specific sector to growth rate (currently inactive as all technologies have bda up 0)
demR_limit,share-constraint formulation,"activity, lower, upper",1,Constraint linking mpa for additional VOM costs for breaching share constraints related to Residential Commercial Specific sector to growth rate
demb_limit,share-constraint formulation,"activity, lower, upper",1,Constraint linking mpa for additional VOM costs for breaching share constraints related to Industrial Thermal sector to growth rate
demp_limit,share-constraint formulation,"activity, lower, upper",1,Constraint linking mpa for additional VOM costs for breaching share constraints related to Transport sector to growth rate
demt_limit,share-constraint formulation,"activity, lower, upper",1,Constraint linking mpa for additional VOM costs for breaching share constraints related to Residential Commercial Thermal sector to growth rate
domestic_coal,share-constraint formulation,"activity, upper",1,R11-PAO only - Constraint - limits domestic coal use to x% of total primary energy.
domestic_gas,share-constraint formulation,"activity, upper",1,R11-PAO only - Constraint - limits domestic coal use to x% of total primary energy.
ele_nuc,hisc,"activity, lower",1,Constrains/calibrates historical nuclear
elec_coal,hisc,"activity, lower, upper",1,Constrains/calibrates historical electricity production from coal
elec_gas,hisc,"activity, lower, upper",1,Constrains/calibrates historical electricity production from natural gas
elec_hydro,hisc,"activity, lower, upper",1,Constrains/calibrates historical electricity production from hydro
elec_nuclear,hisc,"activity, lower, upper",1,Constrains/calibrates historical electricity production from nuclear
elec_relations2_coal,removed,activity,1,"""(?) Counter - electricty from coal (inactive as no -1)"
elec_relations2_gas,removed,activity,1,"""(?) Counter - electricty from gas (inactive as no -1)"
elec_relations2_hydro,removed,activity,1,"""(?) Counter - electricty from hydro (inactive as no -1)"
elec_relations2_nuclear,removed,activity,1,"""(?) Counter - electricty from nuclear (inactive as no -1)"
elec_relations2_oil,removed,activity,1,"""(?) Counter - electricty from oil (inactive as no -1)"
elec_relations2_renewable,removed,activity,1,"""(?) Counter - electricty from renewable (inactive as no -1)"
extraction_coal,removed,activity,1,Constrains/calibrates historical coal extraction (inactive as no -1)
extraction_gas,removed,activity,1,Constrains/calibrates historical gas extraction (inactive as no -1)
extraction_oil,removed,activity,1,Constrains/calibrates historical oil extraction (inactive as no -1)
foil_prod,hisc,"activity, lower, upper",1,Constrains/calibrates historical refinery output
gas_export,hisc,"activity, lower, upper",1,Constrains/calibrates historical gas exports
gas_extr_mpen_c,fossil resources,"activity, lower, upper",1,link equation for joint diffusion constraint of gas extraction technologies
gas_mix_lim,share-constraint formulation,"activity, upper",1,R11-AFR only - Constrains hydrogen contribution to final gas usage
